"Timestamp","Jak masz na imię?","Jaki jest Twój adres e-mail?","Jaki jest temat artykułu, który Twoim zdaniem musi znaleźć się na www.samouczekprogramisty.pl","Kto polecił Ci stronę www.samouczekprogramisty.pl (podaj adres e-mail)?"
"2016/08/15 7:16:01 PM GMT+2","imie01","email01@gmail.com","suggestia01",""
"2016/08/15 7:16:02 PM GMT+2","imie02","email02@gmail.com","suggestia02",""
"2016/08/15 7:16:03 PM GMT+2","imie03","email03@gmail.com","suggestia03",""
"2016/08/15 7:16:04 PM GMT+2","imie04","email04@gmail.com","suggestia04",""
"2016/08/15 7:16:05 PM GMT+2","imie05","email05@gmail.com","suggestia05",""
"2016/08/15 7:16:06 PM GMT+2","imie06","email06@gmail.com","suggestia06",""
"2016/08/15 7:16:07 PM GMT+2","imie07","email07@gmail.com","suggestia07",""
"2016/08/15 7:16:08 PM GMT+2","imie08","email08@gmail.com","suggestia08","imie01"
"2016/08/15 7:16:09 PM GMT+2","imie09","email09@gmail.com","suggestia09","imie01"
"2016/08/15 7:16:10 PM GMT+2","imie10","email10@gmail.com","suggestia10","imie02"
"2016/08/15 7:16:11 PM GMT+2","imie11","email11@gmail.com","suggestia11","imie02"
"2016/08/15 7:16:12 PM GMT+2","imie12","email12@gmail.com","suggestia12",""
"2016/08/15 7:16:13 PM GMT+2","imie13","email13@gmail.com","suggestia13",""
"2016/08/15 7:16:14 PM GMT+2","imie14","email14@gmail.com","suggestia14",""
"2016/08/15 7:16:15 PM GMT+2","imie15","email15@gmail.com","suggestia15",""
"2016/08/15 7:16:16 PM GMT+2","imie16","email16@gmail.com","suggestia16","imie03"
"2016/08/15 7:16:17 PM GMT+2","imie17","email17@gmail.com","suggestia17",""
"2016/08/15 7:16:18 PM GMT+2","imie18","email18@gmail.com","suggestia18",""
"2016/08/15 7:16:19 PM GMT+2","imie19","email19@gmail.com","suggestia19","imie18"
"2016/08/15 7:16:20 PM GMT+2","imie20","email20@gmail.com","suggestia20",""
